,height
532,124.3
533,130.8
534,125.9
535,125.7
536,127.6
537,118.2
538,124.9
539,127.9
540,127.4
541,122.6
542,122.7
543,129.0
544,132.1
545,139.6
546,134.1
547,128.7
548,122.8
549,123.1
550,118.4
551,132.9
552,133.9
553,139.2
554,133.6
555,126.7
556,133.2
557,134.9
558,140.3
559,130.0
560,134.9
561,129.4
562,126.0
563,134.8
564,142.9
565,132.6
566,127.3
567,130.5
568,132.1
569,129.4
570,131.5
571,137.7
572,123.5
573,121.7
574,133.8
575,140.2
576,133.3
577,144.9
578,139.8
579,135.4
580,145.1
581,140.4
582,141.5
583,139.2
584,146.2
585,141.2
586,132.6
587,151.5
588,151.2
589,147.0
590,141.6
591,135.7
592,144.9
593,149.0
594,142.6
595,138.2
596,136.2
597,127.0
598,124.8
599,149.6
600,148.2
601,139.6
602,145.1
603,132.5
604,144.3
605,140.6
606,139.6
607,149.1
608,153.1
609,146.3
610,148.7
611,155.7
612,145.9
613,145.5
614,154.9
615,143.6
616,139.6
617,138.9
618,134.9
619,144.5
620,135.2
621,147.6
622,157.1
623,138.8
624,157.3
625,152.6
626,143.5
627,150.5
628,155.5
629,150.2
630,151.5
631,149.1
632,149.7
633,162.3
634,155.9
635,156.1
636,130.7
637,156.0
638,161.6
639,145.2
640,158.3
641,148.1
642,150.4
643,153.2
644,120.0
645,126.0
646,123.0
647,129.0
648,117.0
649,123.7
650,118.4
651,126.0
652,106.0
653,120.0
654,120.0
655,125.7
656,116.4
657,128.5
658,118.2
659,136.0
660,126.0
661,118.0
662,129.3
663,121.9
664,129.6
665,130.1
666,128.4
667,128.6
668,130.6
669,115.2
670,125.8
671,125.6
672,122.0
673,122.0
674,117.5
675,123.1
676,128.6
677,119.7
678,132.8
679,123.5
680,124.2
681,123.8
682,123.9
683,128.4
684,130.0
685,126.7
686,125.8
687,125.1
688,126.9
689,136.4
690,127.7
691,143.6
692,133.3
693,134.0
694,129.7
695,127.8
696,141.2
697,132.4
698,126.9
699,136.4
700,135.3
701,130.9
702,133.0
703,121.8
704,132.8
705,137.3
706,131.7
707,129.6
708,128.9
709,137.6
710,133.0
711,127.4
712,145.7
713,138.6
714,149.4
715,139.0
716,133.3
717,142.5
718,137.0
719,135.5
720,129.0
721,129.9
722,141.0
723,143.3
724,140.8
725,137.7
726,126.4
727,144.0
728,131.9
729,138.0
730,137.0
731,143.0
732,144.8
733,133.0
734,145.1
735,133.7
736,148.6
737,152.3
738,155.0
739,141.5
740,148.7
741,162.1
742,145.9
743,130.4
744,153.2
745,143.2
746,155.1
747,146.2
748,152.9
749,151.2
750,151.0
751,146.6
752,144.8
753,143.6
754,157.6
755,143.3
756,157.1
757,151.7
758,147.7
759,155.7
760,149.6
761,165.5
762,160.6
763,143.3
764,156.9
765,151.5
766,157.8
767,151.0
768,158.7
769,151.5
770,159.9
771,147.5
772,156.8
773,143.3
774,162.7
775,150.0
776,161.2
777,156.3
778,123.3
779,124.7
780,116.7
781,121.9
782,117.0
783,118.6
784,120.5
785,119.1
786,113.1
787,126.3
788,121.2
789,120.6
790,116.7
791,122.0
792,126.3
793,111.6
794,119.8
795,122.8
796,130.1
797,122.8
798,119.3
799,125.2
800,122.8
801,128.5
802,131.2
803,126.2
804,122.0
805,142.8
806,125.5
807,124.9
808,120.7
809,131.7
810,121.3
811,126.6
812,127.6
813,144.8
814,119.6
815,128.3
816,119.7
817,135.6
818,127.7
819,127.3
820,126.4
821,127.1
822,138.0
823,138.8
824,133.2
825,122.8
826,139.0
827,130.1
828,134.6
829,131.9
830,136.0
831,133.8
832,136.5
833,129.2
834,132.3
835,126.7
836,136.0
837,127.5
838,129.7
839,135.0
840,142.4
841,133.5
842,135.0
843,142.0
844,126.5
845,132.8
846,135.7
847,126.5
848,126.0
849,132.7
850,138.5
851,133.0
852,131.3
853,141.0
854,142.7
855,138.8
856,149.8
857,142.0
858,139.4
859,134.0
860,139.0
861,142.0
862,154.0
863,132.0
864,135.0
865,141.4
866,136.0
867,142.0
868,138.1
869,142.3
870,143.1
871,127.0
872,136.6
873,149.4
874,145.0
875,132.5
876,136.0
877,141.7
878,144.0
879,149.2
880,153.4
881,147.1
882,155.4
883,145.1
884,142.4
885,152.1
886,137.8
887,144.1
888,142.0
889,142.6
890,140.4
891,149.2
892,140.7
893,151.4
894,150.1
895,142.0
896,144.4
897,136.9
898,152.8
899,146.6
900,134.0
901,154.0
902,143.1
903,144.2
904,147.8
905,155.7
906,149.7
907,160.8
908,146.5
909,156.5
910,148.0
911,151.8
912,154.4
913,148.6
914,159.8
915,151.3
916,142.0
917,150.1
918,160.8
919,143.4
920,151.5
921,144.3
922,149.3
923,156.1
924,150.5
925,147.3
926,150.0
927,149.5
928,120.7
929,126.2
930,125.3
931,119.7
932,116.4
933,134.2
934,117.4
935,114.0
936,126.3
937,119.2
938,124.8
939,118.5
940,117.3
941,125.1
942,126.5
943,124.2
944,127.6
945,131.3
946,127.9
947,122.9
948,130.6
949,119.6
950,129.3
951,125.4
952,127.7
953,124.2
954,131.0
955,122.6
956,125.6
957,124.3
958,132.8
959,135.2
960,122.2
961,125.9
962,145.6
963,127.2
964,135.3
965,132.1
966,127.8
967,130.6
968,132.3
969,143.2
970,122.5
971,139.9
972,140.4
973,131.8
974,134.7
975,143.6
976,133.5
977,138.1
978,138.5
979,142.3
980,134.4
981,131.0
982,143.5
983,136.2
984,129.4
985,147.4
986,141.2
987,134.3
988,140.8
989,131.1
990,139.3
991,142.4
992,152.1
993,128.3
994,146.5
995,145.3
996,142.8
997,156.0
998,141.4
999,159.4
1000,141.7
1001,149.0
1002,145.2
1003,141.0
1004,139.7
1005,143.8
1006,142.0
1007,162.5
1008,156.6
1009,142.9
1010,145.4
1011,136.6
1012,143.3
1013,145.1
1014,157.7
1015,158.3
1016,145.4
1017,156.0
1018,146.6
1019,157.0
1020,162.8
1021,118.0
1022,124.0
1023,119.5
1024,116.5
1025,111.7
1026,124.5
1027,121.7
1028,115.6
1029,116.8
1030,119.3
1031,118.2
1032,124.6
1033,116.8
1034,129.0
1035,124.1
1036,118.0
1037,118.2
1038,116.2
1039,121.6
1040,113.1
1041,113.1
1042,119.6
1043,119.4
1044,127.6
1045,123.2
1046,115.7
1047,128.7
1048,122.0
1049,140.4
1050,131.6
1051,127.0
1052,125.3
1053,128.1
1054,138.0
1055,136.8
1056,134.6
1057,128.8
1058,125.2
1059,130.6
1060,127.1
1061,122.7
1062,119.6
1063,130.8
1064,124.8
1065,135.4
1066,123.8
1067,122.8
1068,128.9
1069,122.5
1070,120.3
1071,132.9
1072,120.9
1073,133.7
1074,127.6
1075,124.6
1076,123.8
1077,132.6
1078,137.6
1079,136.8
1080,146.5
1081,150.3
1082,141.8
1083,137.8
1084,135.3
1085,134.2
1086,142.6
1087,138.5
1088,133.4
1089,132.8
1090,135.5
1091,131.2
1092,123.8
1093,137.6
1094,124.2
1095,136.4
1096,127.3
1097,134.1
1098,138.1
1099,139.6
1100,130.3
1101,135.2
1102,122.6
1103,128.9
1104,139.7
1105,135.6
1106,138.3
1107,130.3
1108,140.0
1109,143.0
