,height
532,124.6
533,116.8
534,129.0
535,124.1
536,118.0
537,118.2
538,116.2
539,121.6
540,113.1
541,113.1
542,119.6
543,119.4
544,127.6
545,123.2
546,115.7
547,128.7
548,122.0
549,140.4
550,131.6
551,127.0
552,125.3
553,128.1
554,138.0
555,136.8
556,134.6
557,128.8
558,125.2
559,130.6
560,127.1
561,122.7
562,119.6
563,130.8
564,124.8
565,135.4
566,123.8
567,122.8
568,128.9
569,122.5
570,120.3
571,132.9
572,120.9
573,133.7
574,127.6
575,124.6
576,123.8
577,132.6
578,137.6
579,136.8
580,146.5
581,150.3
582,141.8
583,137.8
584,135.3
585,134.2
586,142.6
587,138.5
588,133.4
589,132.8
590,135.5
591,131.2
592,123.8
593,137.6
594,124.2
595,136.4
596,127.3
597,134.1
598,138.1
599,139.6
600,130.3
601,135.2
602,122.6
603,128.9
604,139.7
605,135.6
606,138.3
607,130.3
608,140.0
609,143.0
610,134.1
611,136.2
612,137.2
613,135.4
614,139.6
615,136.8
616,147.8
617,146.7
618,134.5
619,129.5
620,138.2
621,130.3
622,129.8
623,133.0
624,133.3
625,142.3
626,139.6
627,144.3
628,139.7
629,129.0
630,136.1
631,133.7
632,136.4
633,134.2
634,144.5
635,146.4
636,156.8
637,151.9
638,134.9
639,144.3
640,149.0
641,139.3
642,129.5
643,145.2
644,148.8
645,139.6
646,140.4
647,139.2
648,141.7
649,152.8
650,155.1
651,138.8
652,149.7
653,136.5
654,138.1
655,144.8
656,135.5
657,143.1
658,150.8
659,138.5
660,143.7
661,156.6
662,171.0
663,146.3
664,138.8
665,155.3
666,149.8
667,144.2
668,159.0
669,148.8
670,162.6
671,147.0
672,149.1
673,147.8
674,157.7
675,159.1
676,148.2
677,151.2
678,154.5
679,150.5
680,150.9
681,148.6
682,148.7
683,151.2
684,159.1
685,160.2
686,160.8
687,149.4
688,117.0
689,128.0
690,119.5
691,123.1
692,123.3
693,121.8
694,125.1
695,127.6
696,116.6
697,121.0
698,128.4
699,121.5
700,126.8
701,120.4
702,121.2
703,116.3
704,117.4
705,114.7
706,118.3
707,120.2
708,129.1
709,125.3
710,121.6
711,124.9
712,131.8
713,134.2
714,131.1
715,124.7
716,114.3
717,129.0
718,136.5
719,135.0
720,128.6
721,142.3
722,123.4
723,131.1
724,132.1
725,136.9
726,125.3
727,126.1
728,133.0
729,128.3
730,125.4
731,127.3
732,121.6
733,124.7
734,125.2
735,125.6
736,131.3
737,141.0
738,139.7
739,135.5
740,131.4
741,138.0
742,127.9
743,137.7
744,143.6
745,128.9
746,135.2
747,127.9
748,128.2
749,132.0
750,137.4
751,129.2
752,130.0
753,139.3
754,133.1
755,131.1
756,129.8
757,122.6
758,120.0
759,133.3
760,136.2
761,140.6
762,136.3
763,131.8
764,137.6
765,133.3
766,142.4
767,151.8
768,135.9
769,141.6
770,146.2
771,136.8
772,137.6
773,124.5
774,138.1
775,129.7
776,143.9
777,138.5
778,135.8
779,135.8
780,135.8
781,140.3
782,136.3
783,133.4
784,142.9
785,140.5
786,136.4
787,137.4
788,133.8
789,137.3
790,145.0
791,144.5
792,141.3
793,148.2
794,143.8
795,139.7
796,140.4
797,137.6
798,146.2
799,139.3
800,142.6
801,147.5
802,146.4
803,153.2
804,143.5
805,141.4
806,158.1
807,140.2
808,140.2
809,140.4
810,152.2
811,153.2
812,150.6
813,156.6
814,142.5
815,138.9
816,154.6
817,152.6
818,150.5
819,156.2
820,151.9
821,146.5
822,132.0
823,169.9
824,161.6
825,148.2
826,142.2
827,142.2
828,150.6
829,147.2
830,148.5
831,145.9
832,156.9
833,155.9
834,146.2
835,149.6
836,151.2
837,153.5
838,145.6
839,156.4
840,157.1
841,147.6
842,155.5
843,151.2
844,160.0
845,152.5
846,153.3
847,126.3
848,130.2
849,116.5
850,122.0
851,128.9
852,120.3
853,114.7
854,121.0
855,124.4
856,120.2
857,118.1
858,128.4
859,132.7
860,120.5
861,117.0
862,121.6
863,127.1
864,123.0
865,122.0
866,115.5
867,115.1
868,124.2
869,114.7
870,121.5
871,125.0
872,123.5
873,120.4
874,139.8
875,123.1
876,132.2
877,138.1
878,128.5
879,121.4
880,130.4
881,123.7
882,130.6
883,130.2
